id,person_id,organization_id,title,department,seniority,email,phone,is_primary,is_current,started_at,ended_at,notes,created_at,updated_at
85,563,592,Co-founder and General Partner,GP,,,,true,true,2020-01-01,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
86,574,575,Partner,Partner,,,,true,true,2018-01-10,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
87,612,626,Founder & General Partner,Founder,,,,false,true,2020-01-01,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
88,520,572,Vice President,Vice President,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
89,630,634,Sales Director,Sales Director,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
90,565,623,President & CEO,Chief Executive Officer,,,,true,true,2009-01-03,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
91,554,606,Venture Partner,Venture Partner,,,,true,true,2025-01-01,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
92,503,581,Principal,Principal,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
93,580,573,General Manager & Managing Partner,General Manager,,,,true,true,2022-01-02,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
94,580,586,Chief Executive,Chief Executive Officer,,,,true,true,2022-01-02,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
95,482,574,Managing Partner,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
96,485,580,"Managing Partner, CFA",,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
97,486,607,Managing Partner,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
98,516,617,Co-Founder & CEO,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
99,518,631,Co-founder & CEO,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
100,519,597,Founder & CEO,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
101,521,594,Co-Founder & Managing Partner,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
102,526,618,Founder,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
103,544,614,Director,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
104,545,613,Director,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
105,546,584,Manager,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
106,595,622,Digital Strategy & Innovation Lead,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
107,564,580,Managing Partner,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
108,566,602,Jr. Associate,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
109,568,602,Partner,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
110,570,601,Investor,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
111,571,610,Managing Partner / Founder,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
112,572,609,Head of Venture Capital,,,,,true,true,,,,2026-01-19 16:32:33 UTC,2026-01-19 16:32:33 UTC
